thuis,uit,uitslag,home_prob,draw_prob,away_prob,is_motd
Qatar,Ecuador,0-2,27.97%,30.68%,41.35%,False
England,Iran,6-2,71.08%,20.20%,8.72%,False
Senegal,Netherlands,0-2,15.80%,24.95%,59.25%,False
United States,Wales,1-1,38.25%,31.87%,29.88%,False
Argentina,Saudi Arabia,1-2,82.77%,12.69%,4.53%,False
Denmark,Tunisia,0-0,63.49%,23.81%,12.70%,False
Mexico,Poland,0-0,35.32%,31.79%,32.89%,False
France,Australia,4-1,76.19%,15.87%,7.94%,False
Morocco,Croatia,0-0,25.04%,30.70%,44.26%,False
Germany,Japan,1-2,65.39%,21.07%,13.54%,False
Spain,Costa Rica,7-0,82.77%,12.69%,4.53%,False
Belgium,Canada,1-0,63.40%,21.96%,14.63%,False
Switzerland,Cameroon,1-0,54.55%,27.27%,18.18%,False
Uruguay,South Korea,0-0,54.55%,27.27%,18.18%,False
Portugal,Ghana,3-2,70.46%,20.03%,9.51%,False
Brazil,Serbia,2-0,65.39%,21.07%,13.54%,False
Wales,Iran,0-2,45.13%,30.57%,24.30%,False
Qatar,Senegal,1-3,15.87%,26.44%,57.69%,False
Netherlands,Ecuador,1-1,52.93%,27.22%,19.85%,False
England,United States,0-0,61.50%,23.83%,14.67%,False
Tunisia,Australia,0-1,44.39%,29.82%,25.79%,False
Poland,Saudi Arabia,2-0,54.46%,26.48%,19.06%,False
France,Denmark,2-1,52.93%,27.22%,19.85%,False
Argentina,Mexico,2-0,61.13%,24.29%,14.58%,False
Japan,Costa Rica,0-1,65.96%,22.09%,11.95%,False
Belgium,Morocco,0-2,47.48%,28.78%,23.74%,False
Croatia,Canada,4-1,44.47%,28.97%,26.56%,False
Spain,Germany,1-1,40.52%,27.20%,32.28%,False
Cameroon,Serbia,3-3,19.08%,25.44%,55.47%,False
South Korea,Ghana,2-3,37.42%,30.78%,31.80%,False
Brazil,Switzerland,1-0,62.98%,22.49%,14.53%,False
Portugal,Uruguay,2-0,48.66%,28.75%,22.59%,False
Ecuador,Senegal,1-2,38.94%,30.77%,30.29%,False
Netherlands,Qatar,2-0,83.44%,11.99%,4.57%,False
Iran,United States,0-1,23.40%,27.41%,49.19%,False
Wales,England,0-3,12.76%,21.26%,65.98%,False
Tunisia,France,1-0,13.61%,22.01%,64.38%,False
Australia,Denmark,1-0,13.61%,22.01%,64.38%,False
Poland,Argentina,0-2,12.06%,21.43%,66.51%,False
Saudi Arabia,Mexico,1-2,19.05%,23.23%,57.72%,False
Croatia,Belgium,0-0,35.25%,28.84%,35.91%,False
Canada,Morocco,1-2,26.50%,28.06%,45.43%,False
Japan,Spain,2-1,11.29%,20.20%,68.52%,False
Costa Rica,Germany,2-4,4.17%,10.11%,85.72%,False
Ghana,Uruguay,0-2,20.01%,25.69%,54.31%,False
South Korea,Portugal,2-1,18.20%,23.89%,57.91%,False
Cameroon,Brazil,1-0,11.29%,20.20%,68.52%,False
Serbia,Switzerland,2-3,36.66%,28.04%,35.30%,False
